date invoice,aliac,upc,name,barcode,Ordered QTY,Size US/UK,eu size,rrp,Season,gender,color,Category,cost,silling price,customer price,Brand
45915,216663BBK,216663BBK,Slip-Ins - Grid Mesh Bungee W/ Hotmelt And Overl,198739741889,1,11.5,45.0,400,fw25,MENS,BBK,Footwear,200.6,232.0,320,Skechers
45915,216663BBK,216663BBK,Slip-Ins - Grid Mesh Bungee W/ Hotmelt And Overl,198739741902,1,12.5,46.0,400,fw25,MENS,BBK,Footwear,200.6,232.0,320,Skechers
45915,216663BBK,216663BBK,Slip-Ins - Grid Mesh Bungee W/ Hotmelt And Overl,198739741803,1,7.5,40.5,400,fw25,MENS,BBK,Footwear,200.6,232.0,320,Skechers
45915,216663BBK,216663BBK,Slip-Ins - Grid Mesh Bungee W/ Hotmelt And Overl,198739741810,1,8.0,41.0,400,fw25,MENS,BBK,Footwear,200.6,232.0,320,Skechers
45915,216663BBK,216663BBK,Slip-Ins - Grid Mesh Bungee W/ Hotmelt And Overl,198739741827,2,8.5,42.0,400,fw25,MENS,BBK,Footwear,200.6,232.0,320,Skechers
45915,216663BBK,216663BBK,Slip-Ins - Grid Mesh Bungee W/ Hotmelt And Overl,198739741834,2,9.0,42.5,400,fw25,MENS,BBK,Footwear,200.6,232.0,320,Skechers
45915,216663BBK,216663BBK,Slip-Ins - Grid Mesh Bungee W/ Hotmelt And Overl,198739741841,3,9.5,43.0,400,fw25,MENS,BBK,Footwear,200.6,232.0,320,Skechers
45915,220382BKGY,220382BKGY,Engineered Mesh Lace Up,198376747398,2,10.5,44.0,280,fw25,MENS,BKGY,Footwear,140.42,162.4,224,Engineered
45915,220382BKGY,220382BKGY,Engineered Mesh Lace Up,198376747404,1,11.0,44.5,280,fw25,MENS,BKGY,Footwear,140.42,162.4,224,Engineered
45915,220382BKGY,220382BKGY,Engineered Mesh Lace Up,198376747411,1,11.5,45.0,280,fw25,MENS,BKGY,Footwear,140.42,162.4,224,Engineered
45915,220382BKGY,220382BKGY,Engineered Mesh Lace Up,198376747435,1,12.5,46.0,280,fw25,MENS,BKGY,Footwear,140.42,162.4,224,Engineered
45915,220382BKGY,220382BKGY,Engineered Mesh Lace Up,198376747336,1,7.5,40.5,280,fw25,MENS,BKGY,Footwear,140.42,162.4,224,Engineered
45915,220382BKGY,220382BKGY,Engineered Mesh Lace Up,198376747343,1,8.0,41.0,280,fw25,MENS,BKGY,Footwear,140.42,162.4,224,Engineered
45915,220382BKGY,220382BKGY,Engineered Mesh Lace Up,198376747350,2,8.5,42.0,280,fw25,MENS,BKGY,Footwear,140.42,162.4,224,Engineered
45915,220382BKGY,220382BKGY,Engineered Mesh Lace Up,198376747367,2,9.0,42.5,280,fw25,MENS,BKGY,Footwear,140.42,162.4,224,Engineered
